"Detector","Year","Doctype","Publisher","Venue","Title","Citations","Altmetric","Tips","Tortured Phrases","Assessor","PubPeer Users"
"tortured","2019","proceeding","Institute of Electrical and Electronics Engineers (IEEE)","2019 International Conference on Intelligent Computing and Control Systems (ICCS)","Stock Market Prediction Using Artificial Neural Networks","0","0","7","computerized reasoning • concealed layer • counterfeit neural • shrouded layer • square blunder • supposition examination • yield layer AND neural","Cabanac","N. H. Wise"
"tortured","2018","article","Springer Nature","International Journal of Parallel Programming","QoS and QoE Enhanced Resource Allocation for Wireless Video Sensor Networks Using Hybrid Optimization Algorithm","2","0","7","directing convention • flag to clamor • flag to commotion • motion to clamor • steering convention • vitality productivity • vitality utilization","Cabanac","N. H. Wise"
"tortured","2017","article","Springer Nature","Wireless Personal Communications","Analyse the Academic Performance of Students Using ANN Classification with Modified Pillar K-means and IWFA","0","0","7","back spread AND neural • concealed layer • k-implies bunching • k-implies grouping • manufactured neural • shrouded layer • yield layer AND neural","Cabanac","Guillaume Cabanac"
"tortured","2017","article","IAES Indonesia Section","Indonesian Journal of Electrical Engineering and Informatics (IJEEI)","Salt Contamination Calculation in Insulators During Monsoon Using Artificial Neural Network","0","0","7","back engendering AND neural • back spread AND neural • concealed layer • fake neural • shrouded layer • square mistake • yield layer AND neural","Invitation for human assessors","–"
"tortured","2017","proceeding","Institute of Electrical and Electronics Engineers (IEEE)","2017 IEEE International Conference on Power, Control, Signals and Instrumentation Engineering (ICPCSI)","Back Propagation Algorithm using ANFIS Controller for Wind-DG Microgrid","0","0","7","back engendering AND neural • back spread AND neural • counterfeit neural • fake neural • hereditary calculation • shrouded layer • yield layer AND neural","Invitation for human assessors","–"
"tortured","2015","proceeding","Institute of Electrical and Electronics Engineers (IEEE)","2015 4th International Conference on Reliability, Infocom Technologies and Optimization (ICRITO) (Trends and Future Directions)","Mitigation of Byzantine Attack Using Enhanced Cooperative Bait Detection and Prevention Scheme (ECBDPS)","4","0","7","computerized reasoning • malevolent hub • malignant hub • noxious hub • self sorting out • steering convention • versatile hub","Cabanac","Guillaume Cabanac"
"tortured","2022","article","Springer Nature","Cognitive Neurodynamics","Brain tumor identification and classification of MRI images using data augmented support vector machine","0","0","6","attractive reverberation • backing vector machine • fluffy rationale • k-implies bunching • k-implies grouping • mind tumor","Cabanac","Guillaume Cabanac"
"tortured","2022","chapter","Taylor & Francis","Enterprise Digital Transformation","Machine and Deep Learning (ML/DL) Algorithms for Next-Generation Healthcare Applications","0","0","6","back proliferation AND neural • counterfeit neural • discourse acknowledgement OR discourse acknowledgment • fake neural • regular language handling • yield layer AND neural","Cabanac","Guillaume Cabanac"
"tortured","2022","chapter","Springer Nature","Intelligent Internet of Things for Healthcare and Industry","Network Protocols for the Internet of Health Things","0","0","6","directing convention • keen city • keen gadget • steering convention • versatile hub • vitality utilization","Invitation for human assessors","–"
"tortured","2021","article","Society of Pharmaceutical Tecnocrats","Journal of Drug Delivery and Therapeutics","Recent insights into Early Onset Dementia (EOD): A Review","0","0","6","Alzheimer's ailment • Alzheimer's infection • Alzheimer's malady • Alzheimer's sickness • Huntington's malady • Parkinson's sickness","Invitation for human assessors","–"
"tortured","2021","article","Wiley","International Journal of Communication Systems","Analysis of dynamic topology wireless sensor networks for the internet of things (IoT)","0","0","6","populace size • social database AND SQL • versatile hub • vitality effective • vitality utilization • wellness esteem","Invitation for human assessors","–"
"tortured","2021","chapter","Springer Nature","Technical Advancements of Machine Learning in Healthcare","Development of Algorithm for Distinguishing of Malignancy in Computed Tomography Lung Using Feature Extraction and Artificial Neural Network","0","0","6","back proliferation AND neural • concealed layer • counterfeit neural • disarray lattice • disarray network • yield layer AND neural","Invitation for human assessors","–"
"tortured","2021","chapter","Springer Nature","Advances in Smart Communication and Imaging Systems","Comparison of Various Classification Techniques on Brain Tumor Detection","0","0","6","amiable tumor • bolster vector machine • disarray lattice • fake neural • mind tumor • relapse tree","Invitation for human assessors","–"
"tortured","2021","preprint","Research Square Platform LLC","Research Square","Radio Propagation Models: A Performance Analysis based Impact of Sparse and Dense Deployment of Nodes under Different Propagation Models in Mobile Ad-hoc Networks (MANETs)","0","1","6","directing convention • non-observable pathway • squared blunder • steering convention • versatile hub • vitality utilization","Cabanac","Guillaume Cabanac"
"tortured","2021","proceeding","Institute of Electrical and Electronics Engineers (IEEE)","2021 6th International Conference on Inventive Computation Technologies (ICICT)","A Review on Indian State/City Covid-19 Cases Outbreak Forecast utilizing Machine Learning Models","2","0","6","dimensionality decrease • discourse acknowledgement OR discourse acknowledgment • keep up vector machine • relapse tree • square blunder • square mistake","Cabanac","Guillaume Cabanac"
"tortured","2021","proceeding","Institute of Electrical and Electronics Engineers (IEEE)","2021 Innovations in Power and Advanced Computing Technologies (i-PACT)","Short-Term Load Forecasting With Deep Learning","0","0","6","computerized reasoning • concealed layer • enhancement calculation AND optimiz* • profound neural system • shrouded layer • yield layer AND neural","Invitation for human assessors","–"
"tortured","2021","proceeding","Institute of Electrical and Electronics Engineers (IEEE)","2021 International Conference on Smart Generation Computing, Communication and Networking (SMART GENCON)","An Improved Technique for Diabeties Prediction By Combining Feature Selection Techniques And BFGS Optimization Algorithm With Weight Constrained Neural Network","0","0","6","arbitrary woods • credulous Bayes • dimensionality decrease • fake neural • fluffy rationale • k-implies bunching","Invitation for human assessors","–"
"tortured","2021","proceeding","Institute of Electrical and Electronics Engineers (IEEE)","2021 9th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)","A Novel Approach to Identify Age and Gender using Deep Learning","0","0","6","back proliferation AND neural • concealed layer • conjugate inclination • facial acknowledgement OR facial acknowledgment • profound neural system • yield layer AND neural","Invitation for human assessors","–"
"tortured","2020","article","IGI Global","International Journal of Information Security and Privacy","Manifold Surveillance Issues in Wireless Network and the Secured Protocol","1","0","6","bargained hub • blunder rate • directing convention • fluffy rationale • pernicious hub • vitality utilization","Invitation for human assessors","–"
"tortured","2020","article","American Scientific Publishers","Journal of Computational and Theoretical Nanoscience","A Real and Accurate Fake Product Detection System and Generate Original Reviews Using Data Mining Mechanism","0","0","6","arbitrary backwoods • arbitrary woodland • bolster vector machine • credulous Bayes • guileless Bayes • gullible Bayes","Cabanac","Chamaecrista Fasciculata"
"tortured","2020","article","Egypts Presidential Specialized Council for Education and Scientific Research","Benha Journal of Applied Sciences","Application of Real Time Elastography for Assessment of Different Hepatic Focal Lesions","0","0","6","area of intrigue • district of intrigue • kind injuries • kindhearted tumor • p esteem • registered tomography","Cabanac","Guillaume Cabanac"
"tortured","2020","article","EDP Sciences","ITM Web of Conferences","Early Prediction Model for Type-2 Diabetes Based on Lifestyle","2","0","6","computerized reasoning • concealed layer • convolutional neural system • fake neural • irregular backwoods • profound neural system","Cabanac","Guillaume Cabanac"
"tortured","2020","article","IP Innovative Publication Pvt Ltd","IP International Journal of Medical Microbiology and Tropical Diseases","Similarities & Correspondences of novel coronavirus (CoV), SARS and MERS in KSA","0","0","6","extreme intense respiratory • general wellbeing authorities • intense respiratory trouble • kidney disappointment • polymerase chain response • respiratory disappointment","Invitation for human assessors","–"
"tortured","2020","proceeding","Institute of Electrical and Electronics Engineers (IEEE)","2020 6th International Conference on Advanced Computing and Communication Systems (ICACCS)","Plants Classification Using Machine Learning Algorithm","1","0","6","bolster vector machine • counterfeit neural • enhancement calculation AND optimiz* • help vector machine • hereditary calculation • molecule swarm","Invitation for human assessors","–"
"tortured","2019","chapter","Springer Nature","Applications of Robotics in Industry Using Advanced Mechanisms","Passive Cooling of a Building to Curb Its Cooling Load","0","0","6","vitality devouring • vitality effective • vitality utilization • warm solace • warmth exchange • warmth move","Cabanac","N. H. Wise, Calceolaria Oblonga"
"tortured","2019","preprint","–","SSRN Electronic Journal","Operating System Design Sensor Networks Using Artificial Intelligence","0","0","6","back proliferation AND neural • man-made consciousness • misfortune rate • molecule swarm • vitality productivity • vitality utilization","Invitation for human assessors","–"
"tortured","2019","proceeding","Institute of Electrical and Electronics Engineers (IEEE)","2019 International Conference on Automation, Computational and Technology Management (ICACTM)","Air Quality Prediction using Artificial Neural Networks","7","0","6","back proliferation AND neural • back spread AND neural • computational liquid elements • fake neural • man-made consciousness • populace thickness","Cabanac","N. H. Wise"
"tortured","2019","proceeding","Institute of Electrical and Electronics Engineers (IEEE)","2019 4th International Conference on Electrical, Electronics, Communication, Computer Technologies and Optimization Techniques (ICEECCOT)","Classification of High Dimensional Data Using Filtration Attribute Evaluation Feature Selection Method of Data mining","0","0","6","arbitrary woodland • as pursues • bolster vector machine • credulous Bayes • half-breed calculation • learning revelation in databases","Invitation for human assessors","–"
"tortured","2019","proceeding","Institute of Electrical and Electronics Engineers (IEEE)","2019 Third International Conference on Inventive Systems and Control (ICISC)","Diagnosis of Glaucoma using Machine Learning - A Survey","0","0","6","ROC twist • arbitrary backwoods • bolster vector machine • calculated relapse • counterfeit neural • mind tumor","Cabanac","Elisabeth M Bik"
"tortured","2019","proceeding","Institute of Electrical and Electronics Engineers (IEEE)","2019 International Conference on Issues and Challenges in Intelligent Computing Techniques (ICICT)","Face Identification System","1","0","6","convolutional neural system • facial acknowledgement OR facial acknowledgment • highlight portrayal • profound neural system • shrouded layer • yield layer AND neural","Invitation for human assessors","–"
"tortured","2019","proceeding","Institute of Electrical and Electronics Engineers (IEEE)","2019 International Conference on Smart Structures and Systems (ICSSS)","Intelligent classification technique for breast cancer classification using digital image processing approach","3","0","6","back spread AND neural • bosom malignancy • fake neural • shrouded layer • square mistake • yield layer AND neural","Invitation for human assessors","–"
"tortured","2018","article","OMICS International","International Journal of Advancements in Technology","A Novel Technique to Classify the Network Data by Using OCC with SVM","2","0","6","bolster vector machine • calculated relapse • double straight classifier • gullible Bayes • help vector machine • yield layer AND neural","Invitation for human assessors","–"
"tortured","2018","chapter","Springer Nature","Computational Vision and Bio Inspired Computing","Assisting Visually Challenged Person in the Library Environment","1","0","6","arbitrary woodland • back engendering AND neural • bolster vector machine • convolutional neural system • creating nations • yield layer AND neural","Invitation for human assessors","–"
"tortured","2018","proceeding","Institute of Electrical and Electronics Engineers (IEEE)","2018 International Conference on Soft-computing and Network Security (ICSNS)","A Review on Load Balancing for Reducing Congestion in Mobile Ad-Hoc Networks","0","0","6","Versatile Ad-hoc Network • directing convention • middle of the road hub • pernicious hub • versatile hub • vitality utilization","Invitation for human assessors","–"
"tortured","2018","proceeding","Institute of Electrical and Electronics Engineers (IEEE)","2018 7th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)","A Single Segment Generation Technique for the Design of DCSK System (Differential Chaos Shift Keying System)","0","0","6","Rayleigh blurring • blunder rate • flag to clamor • flag to commotion • vitality efficiency • vitality productivity","Invitation for human assessors","–"
"tortured","2017","proceeding","Institute of Electrical and Electronics Engineers (IEEE)","2017 International Conference on Innovations in Information, Embedded and Communication Systems (ICIIECS)","A Hybrid HMM/ANN Approach for Automatic Gujarati Speech Recognition","1","0","6","back proliferation AND neural • concealed layer • discourse acknowledgement OR discourse acknowledgment • fake neural • shrouded layer • yield layer AND neural","Invitation for human assessors","–"
"tortured","2016","article","Institute of Advanced Engineering and Science","International Journal of Reconfigurable and Embedded Systems (IJRES)","Hardware Implementation of Intrusion Detection System for Ad-Hoc Network","0","0","6","directing convention • malevolent hub • malignant hub • noxious hub • pernicious hub • steering convention","Invitation for human assessors","–"
"tortured","2022","article","Elsevier","Sustainable Computing Informatics and Systems","A comparative analysis of converters performance using various control techniques to minimize the torque ripple in BLDC drive system","0","0","5","as pursues • back spread AND neural • half-breed calculation • square blunder • wavelet decay","Cabanac","Guillaume Cabanac"
"tortured","2022","article","MDPI","Sensors","A Long Short-Term Memory Biomarker-Based Prediction Framework for Alzheimer’s Disease","0","7","5","back spread AND neural • exactness esteem • inclination plummet • square mistake • yield layer AND neural","Invitation for human assessors","–"
"tortured","2022","chapter","Springer Nature","Pervasive Computing and Social Networking","MQTT Attack Detection Using AI and ML Algorithm","0","0","5","arbitrary woods • bogus negative (FN) • bogus positive (FP) • genuine negative (TN) • genuine positive (TP)","Cabanac","Guillaume Cabanac"
"tortured","2022","chapter","Springer Nature","Innovative Data Communication Technologies and Application","Recognition and Detection of Human Judgment About Influential Pairs Using Machine Learning Techniques","0","0","5","calculated relapse • genuine positive (TP) • guileless Bayes • innocent Bayes • irregular woodland","Invitation for human assessors","–"
"tortured","2021","article","IOP Publishing","Journal of Physics Conference Series","Efficient Energy Utilization Using Ant Lion Optimization in WSN","1","0","5","directing convention • leftover vitality • steering convention • vitality effective • vitality utilization","Invitation for human assessors","–"
"tortured","2021","article","EDP Sciences","ITM Web of Conferences","Algorithmic Trading Bot","2","0","5","arbitrary timberland • hereditary calculation • irregular backwoods • profound neural organization • square mistake","Cabanac","Guillaume Cabanac"
"tortured","2021","article","Elsevier","Materials Today Proceedings","Road extraction using Aerial images for future Navigation","0","0","5","counterfeit neural • fluffy rationale • help vector machine • k-implies bunching • profound neural organization","Cabanac","Guillaume Cabanac"
"tortured","2021","article","Springer Nature","Soft Computing","COVID-19 pandemic and unemployment rate: A hybrid unemployment rate prediction approach for developed and developing countries of Asia","1","1","5","backing vector machine • concealed layer • counterfeit neural • shrouded layer • yield layer AND neural","Cabanac","Diradops Cardena"
"tortured","2021","article","Elsevier","Materials Today Proceedings","Multiple metric based Twofold Route Selection AODV routing protocol for improved communications on MANET for industrial automation","0","0","5","directing convention • leftover vitality • malignant hub • sign to commotion • steering convention","Invitation for human assessors","–"
"tortured","2021","article","Institute of Advanced Engineering and Science","International Journal of Reconfigurable and Embedded Systems (IJRES)","Hamming neural network application with FPGA device","0","0","5","concealed layer • counterfeit neural • man-made brainpower • shrouded layer • yield layer AND neural","Invitation for human assessors","–"
"tortured","2021","article","Elsevier","Materials Today Proceedings","Speech emotion recognition based on machine learning tactics and algorithms","3","0","5","binary grouping • calculated relapse • concealed layer • shrouded layer • yield layer AND neural","Invitation for human assessors","–"
"tortured","2021","article","Elsevier","Materials Today Proceedings","Numerical analysis on thermal properties of aluminium alloy for transforming heat based applications","0","0","5","computational liquid elements • focal preparing unit • vitality dispersive • warmth move • x-beam diffraction","Cabanac","N. H. Wise"
"tortured","2021","chapter","Springer Nature","Proceedings of International Conference on Intelligent Computing, Information and Control Systems","Use of Ensemblers Learning for Prediction of Heart Disease","0","0","5","arbitrary woods • bolster vector machine • cardiovascular breakdown • credulous Bayes • individuals bite the dust","Cabanac","Guillaume Cabanac"
"tortured","2021","chapter","Springer Nature","Applications of Networks, Sensors and Autonomous Systems Analytics","Credit Card Fraud Detection Using Soft Computing","0","0","5","concealed layer • k-implies bunching • shrouded layer • squared mistake • yield layer AND neural","Invitation for human assessors","–"
"tortured","2021","chapter","Springer Nature","Ubiquitous Intelligent Systems","A Novel Approach to Detect Leaf Disease and Feature Extraction Using IoT","0","0","5","backing vector machine • counterfeit consciousness • k-implies bunching • k-implies clustering • k-implies grouping","Invitation for human assessors","–"
"tortured","2021","chapter","Taylor & Francis","Disruptive Technologies for Society 5.0","A Metric to Determine the Change Proneness of Software Classes Using GMDH Networks","0","0","5","concealed layer • self sorting out • shrouded layer • squared blunder • yield layer AND neural","Invitation for human assessors","–"
"tortured","2021","chapter","Wiley","Artificial Intelligence and Data Mining Approaches in Security Frameworks","Artificial Intelligence in the Cyber Security Environment","0","0","5","computerized reasoning • fake neural • man-made brainpower • man-made consciousness • normal language preparing","Invitation for human assessors","–"
"tortured","2021","chapter","Springer Nature","Smart Technologies in Data Science and Communication","Performance Analysis of a Simulation-Based Communication Network Model with NS2 Simulator","0","0","5","directing convention • middle of the road hub • steering convention • vitality productivity • vitality utilization","Invitation for human assessors","–"
"tortured","2021","chapter","Springer Nature","Nanotechnology for Advances in Medical Microbiology","Nanomaterials for Advanced Microbiology","0","1","5","creating nations • polymerase chain response • sedate conveyance • sign to commotion • vitality dispersive","Cabanac","Raphaël Lévy, Govindh Boddeti, Lomatium Bradshawii, Mutinus Albotruncatus, Salsola Zygophylla"
"tortured","2021","proceeding","AIP Publishing","AIP Conference Proceedings","Free convection of casson nanofluid with inclined magnetic field","0","0","5","direct differential condition • electrically directing • ordinary to the plate • slanted attractive field • warmth source","Cabanac","N. H. Wise"
"tortured","2021","proceeding","Institute of Electrical and Electronics Engineers (IEEE)","2021 7th International Conference on Advanced Computing and Communication Systems (ICACCS)","A Novel Approach to Detect Leaf Disease and Feature Extraction using IoT","0","0","5","counterfeit consciousness • help vector machine • k-implies bunching • k-implies clustering • k-implies grouping","Cabanac","N. H. Wise"
"tortured","2020","article","American Scientific Publishers","Journal of Medical Imaging and Health Informatics","Energy Saving Data Aggregation Algorithms in Building Automation for Health and Security Monitoring and Privacy in Medical Internet of Things","5","0","5","directing convention • molecule swarm • steering convention • vitality productivity • vitality utilization","Invitation for human assessors","–"
"tortured","2020","article","Egypts Presidential Specialized Council for Education and Scientific Research","Benha Journal of Applied Sciences","The Correlation between Left Atrial Function by Speckle Tracking and Stroke Risk in Patients with Persistent Atrial Fibrillation","0","0","5","cardiovascular breakdown • diastolic circulatory strain • district of intrigue • p esteem • systolic circulatory strain","Invitation for human assessors","–"
"tortured","2020","article","Springer Nature","International Journal of Information Technology","A tree based mechanism for the load balancing of virtual machines in cloud environments","1","0","5","hereditary calculation • molecule swarm • subterranean insect province • vitality utilization • wellness esteem","Invitation for human assessors","–"
"tortured","2020","article","Wiley","Concurrency and Computation Practice and Experience","Revised beaconing glowworm swarm optimization ant colony optimization algorithm to localize nodes and optimize the energy consumed by nodes in wireless sensor networks","2","0","5","leftover vitality • self sorting out • vitality effective • vitality productivity • vitality utilization","Cabanac","Guillaume Cabanac"
"tortured","2020","article","Elsevier","European Journal of Medicinal Chemistry","Anti-tuberculosis activity and its structure-activity relationship (SAR) studies of oxadiazole derivatives: A key review","14","0","5","flagging go-betweens • full-scale phages • least inhibitory focus • nitric oxide benefactor • well-judged changes","Cabanac","Elisabeth M Bik, Alexander Magazinov, Salsola Zygophylla"
"tortured","2020","article","Springer Nature","Journal of Ambient Intelligence and Humanized Computing","Recommender system for home automation using IoT and artificial intelligence","23","0","5","computerized reasoning • facial acknowledgement OR facial acknowledgment • keen home • vitality efficiency • vitality utilization","Invitation for human assessors","–"
"tortured","2020","article","Springer Nature","Journal of Ambient Intelligence and Humanized Computing","Energy efficient data transmission in WSN thru compressive slender penetrative etiquette","2","0","5","blunder rate • directing convention • hereditary calculation • steering convention • vitality utilization","Invitation for human assessors","–"
"tortured","2020","chapter","Springer Nature","Soft Computing: Theories and Applications","Rule-Based Customer Churn Prediction Model Using Artificial Neural Network Based and Rough Set Theory","0","0","5","back proliferation AND neural • concealed layer • shrouded layer • slant investigation • yield layer AND neural","Invitation for human assessors","–"
"tortured","2020","chapter","Springer Nature","ICCCE 2020","Stock Market Prediction Using ARIMA, ANN and SVR","0","0","5","as pursues • bolster vector machine • help vector machine • shrouded layer • squared mistake","Invitation for human assessors","–"
"tortured","2020","chapter","Springer Nature","Applied Computer Vision and Image Processing","Improving Leaf Disease Detection and Localization Accuracy Using Bio-Inspired Machine Learning","0","0","5","arbitrary timberland • back engendering AND neural • bolster vector machine • fake neural • k-implies grouping","Invitation for human assessors","–"
"tortured","2020","chapter","Springer Nature","Soft Computing: Theories and Applications","Patient Diabetes Forecasting Based on Machine Learning Approach","2","0","5","bosom tumor • calculated relapse • computerized reasoning • diastolic circulatory strain • relapse tree","Invitation for human assessors","–"
"tortured","2020","chapter","Springer Nature","Innovations in Electronics and Communication Engineering","NN_Sparsity_Based Model for Semiautomatic Road Extraction from High-Resolution Satellite Images Using Adaptive Multifeature","0","0","5","as pursues • back engendering AND neural • concealed layer • shrouded layer • yield layer AND neural","Invitation for human assessors","–"
"tortured","2020","proceeding","Institute of Electrical and Electronics Engineers (IEEE)","2020 2nd International Conference on Innovative Mechanisms for Industry Applications (ICIMIA)","Design and Development of EGB Classification Model for predicting Heart Diseases","1","0","5","attractive reverberation • genuine negative (TN) • genuine positive (TP) • irregular backwoods • territory of intrigue","Invitation for human assessors","–"
"tortured","2020","proceeding","Institute of Electrical and Electronics Engineers (IEEE)","2020 International Conference on Big Data and Social Sciences (ICBDSS)","Genetic Basis of Alzheimer’s Disease and Its Possible Treatments Based on Big Data","0","0","5","Alzheimer's ailment • Alzheimer's infection • Alzheimer's malady • Alzheimer's sickness • dimensionality decrease","Invitation for human assessors","–"
"tortured","2020","proceeding","Institute of Electrical and Electronics Engineers (IEEE)","2020 3rd International Conference on Intelligent Sustainable Systems (ICISS)","Coronary Artery Disease Prediction using Data Mining Techniques","0","0","5","guileless Bayes • hereditary calculation • individuals kick the bucket • innocent Bayes • irregular timberland","Invitation for human assessors","–"
